ISO,Area,Country
AFG,652230,Afghanistan
ALB,28748,Albania
DZA,2381741,Algeria
AGO,1246700,Angola
ARG,2780400,Argentina
ARM,29743,Armenia
AUS,7741220,Australia
AUT,83871,Austria
AZE,86600,Azerbaijan
BHS,13943,Bahamas
BGD,147570,Bangladesh
BLR,207600,Belarus
BEL,30528,Belgium
BLZ,22970,Belize
BEN,112622,Benin
BTN,38394,Bhutan
BOL,1098581,Bolivia
BIH,51197,Bosnia and Herzegovina
BWA,581730,Botswana
BRA,8515770,Brazil
BRN,5765,Brunei
BGR,110879,Bulgaria
BFA,274200,Burkina Faso
BDI,27830,Burundi
KHM,181035,Cambodia
CMR,475442,Cameroon
CAN,9984670,Canada
CAF,622984,Central African Republic
TCD,1284000,Chad
CHL,756102,Chile
CHN,9596961,China
COL,1141748,Colombia
COG,342000,Congo
CRI,51100,Costa Rica
CIV,322463,Côte d'Ivoire
HRV,56594,Croatia
CUB,109884,Cuba
CYP,9251,Cyprus
CZE,78867,Czech Republic
COD,2344858,DR Congo
DNK,43094,Denmark
DJI,23200,Djibouti
DOM,48671,Dominican Republic
ECU,276841,Ecuador
EGY,1001450,Egypt
SLV,21041,El Salvador
GNQ,28051,Equatorial Guinea
ERI,117600,Eritrea
EST,45228,Estonia
ETH,1104300,Ethiopia
FJI,18274,Fiji
FIN,338424,Finland
FRA,551695,France
GAB,267668,Gabon
GMB,11295,Gambia
GEO,69700,Georgia
DEU,357022,Germany
GHA,238535,Ghana
GRC,131957,Greece
GTM,108889,Guatemala
GIN,245857,Guinea
GNB,36125,Guinea-Bissau
GUY,214969,Guyana
HTI,27750,Haiti
HND,112492,Honduras
HUN,93028,Hungary
ISL,103000,Iceland
IND,3287263,India
IDN,1904569,Indonesia
IRN,1648195,Iran
IRQ,438317,Iraq
IRL,70273,Ireland
ISR,20770,Israel
ITA,301340,Italy
JAM,10991,Jamaica
JPN,377975,Japan
JOR,89342,Jordan
KAZ,2724900,Kazakhstan
KEN,580367,Kenya
KWT,17818,Kuwait
KGZ,199951,Kyrgyzstan
LAO,236800,Laos
LVA,64589,Latvia
LBN,10452,Lebanon
LSO,30355,Lesotho
LBR,111369,Liberia
LBY,1759540,Libya
LTU,65300,Lithuania
LUX,2586,Luxembourg
MDG,587041,Madagascar
MWI,118484,Malawi
MYS,330803,Malaysia
MLI,1240192,Mali
MRT,1030700,Mauritania
MEX,1964375,Mexico
MDA,33851,Moldova
MNG,1564110,Mongolia
MNE,13812,Montenegro
MAR,446550,Morocco
MOZ,799380,Mozambique
MMR,676578,Myanmar
NAM,824292,Namibia
NPL,147181,Nepal
NLD,41543,Netherlands
NZL,270467,New Zealand
NIC,130370,Nicaragua
NER,1267000,Niger
NGA,923768,Nigeria
PRK,120538,North Korea
MKD,25713,North Macedonia
NOR,323802,Norway
OMN,309500,Oman
PAK,881913,Pakistan
PAN,75420,Panama
PNG,462840,Papua New Guinea
PRY,406752,Paraguay
PER,1285216,Peru
PHL,300000,Philippines
POL,312696,Poland
PRT,92090,Portugal
QAT,11586,Qatar
ROU,238391,Romania
RUS,17098246,Russia
RWA,26338,Rwanda
SAU,2149690,Saudi Arabia
SEN,196722,Senegal
SRB,77474,Serbia
SLE,71740,Sierra Leone
SGP,719,Singapore
SVK,49035,Slovakia
SVN,20273,Slovenia
SOM,637657,Somalia
ZAF,1219090,South Africa
KOR,100210,South Korea
SSD,644329,South Sudan
ESP,505990,Spain
LKA,65610,Sri Lanka
SDN,1861484,Sudan
SUR,163820,Suriname
SWE,450295,Sweden
CHE,41277,Switzerland
SYR,185180,Syria
TWN,36193,Taiwan
TJK,143100,Tajikistan
TZA,947303,Tanzania
THA,513120,Thailand
TLS,14874,Timor-Leste
TGO,56785,Togo
TUN,163610,Tunisia
TUR,783562,Turkey
TKM,488100,Turkmenistan
UGA,241550,Uganda
UKR,603550,Ukraine
ARE,83600,United Arab Emirates
GBR,243610,United Kingdom
USA,9833517,United States
URY,176215,Uruguay
UZB,447400,Uzbekistan
VEN,916445,Venezuela
VNM,331212,Vietnam
YEM,527968,Yemen
ZMB,752618,Zambia
ZWE,390757,Zimbabwe
